,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,label
5869,5869,journals/sigmod/BerndtssonH96,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D381889%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,workshop report: the first international workshop on active and real-time database systems (artdb-95),,1996,workshop report: the first international workshop on active and real-time database systems (artdb-95 ,"m berndtsson, j hansson",1996,1
1669,1669,conf/sigmod/LabrinidisR00,0GMNedjfVV0J,webview materialization,"a labrinidis, n roussopoulos",2000,balancing performance and data freshness in web database servers,"a labrinidis, n roussopoulos",2003,0
6824,6824,journals/sigmod/Ioannidis96,dZqd3KKXBiQJ,dynamic information visualization,y ioannidis,1996,univeratility of serial histograms,y ioannidis,0,0
3843,3843,conf/vldb/GottlobKP02,fnIXflrczOEJ,efficient algorithms for processing xpath queries,"g gottlob, c koch, r pichler",2002,efficientalgorithmsfor processing xpath queries,"g gottlob, c koch, r pichler",0,1
1798,1798,conf/sigmod/Lomet00,FiPJDs_jm54J,high speed on-line backup when using logical log operations,d lomet,2000,high speed on-line backup when using logical log operations,db lomet,2000,1
5242,5242,conf/vldb/SrinivasaK03,6q7lyCOAmN8J,a platform based on the multi-dimensional data model for analysis of bio-molecular structures,"s srinivasa, s kumar",2003,requirements analysis for community supporting platforms based on the media reference model,k stanoevska-slabeva,2000,0
3824,3824,conf/vldb/GoldmanW97,UeLjlfHU_gkJ,dataguides: enabling query formulation and optimization in semistructured databases,"r goldman, j widom",1997,"dataguides: enabling query formulation and optimization in semistructured databases, r. goldman, j.  ",r goldman,0,1
4914,4914,conf/vldb/Sarawagi00,W_CVz6V80csJ,user-adaptive exploration of multidimensional data,s sarawagi,2000,"explaining differences in multidimensional aggregates, vldbâ??99",s sarawagi,0,0
6149,6149,journals/sigmod/DoanPSB97,r30CyoxOeycJ,query previews for networked information systems: a case study with nasa environmental data,"k doan, c plaisant, b shneiderman, t bruns",1997,query previews for networked information systems: a case study with nasa environmental data,q previews,0,1
4079,4079,conf/vldb/JagadishLS99,5d1R2mD-7MkJ,what can hierarchies do for data warehouses?,"h jagadish, l lakshmanan, d srivastava",1999,what can hierarchies do for data warehouses?,"hv jagadish, lvs lakshmanan, d srivastava",1999,1
1188,1188,conf/sigmod/GoldmanW00,url:http://portal.acm.org/citation.cfm%3Fid%3D1083592.1083761,wsq/dsq: a practical approach for combined querying of databases and the web,"r goldman, j widom",2000,wise-integrator: a system for extracting and integrating complex web search interfaces of the deep  ,"h he, w meng, c yu, z wu",2005,0
2243,2243,conf/sigmod/RamaswamyRS00,VJIHPbki2uAJ,efficient algorithms for mining outliers from large data sets,"s ramaswamy, r rastogi, k shim",2000,efficient algorithms for mining outliers from large data sets,s ramaswamy,2000,1
1522,1522,conf/sigmod/KalnisNOPT02,ipAB8UMS7QkJ,an adaptive peer-to-peer network for distributed caching of olap results,"p kalnis, w ng, b ooi, d papadias, k tan",2002,an adaptive peer-to-peer network for distributed caching of olap results,p kalnis,2002,1
4009,4009,conf/vldb/HuebschHLLSS03,B_Gmn8T4IDQJ,querying the internet with pier,"r huebsch, j hellerstein, n lanham, b loo, s shenker, i stoica",2003,querying the internet with pier,"r heubsch, j hellerstein, n lanhan, bt loo, s  ",0,1
5277,5277,conf/vldb/SrivastavaDJL96,HIsBB-kUYZIJ,answering queries with aggregation using views,"d srivastava, s dar, h jagadish, a levy",1996,answering queries with aggregation using views,"s dar, hv jagadish, ay levy, d srivastava",0,1
9149,9149,journals/vldb/GeorgeH00,Ah9B3bWU0jEJ,secure bufering in firm real-time database systems,"b george, j haritsa",2000,secure transaction processing in firm real-time database systems,"b george, j haritsa",1997,0
7064,7064,journals/sigmod/Liu01,TUOBVMb4PBsJ,editor's notes,,2001,editor's notes,dw leslie,0,0
5784,5784,journals/sigmod/AndlerHEMBE96,WZ823oj6x3cJ,deeds towards a distributed and active real-time database system,"s andler, j hansson, j eriksson, j mellin, m berndtsson, b eftring",1996,"andb. eftring, deeds: towards a distributed and active real-time database systems","sf andler, j hansson, j eriksson, j mellin, m  ",0,1
840,840,conf/sigmod/CranorJSS03,eXt7Nvd060MJ,gigascope: a stream database for network applications,"c cranor, t johnson, o spatscheck, v shkapenyuk",2003,"bgigascope: a stream database for network applications,^ in proceedings of the acm international  ","c cranor, t johnson, o spataschek, v shkapenyuk",2003,1
7255,7255,journals/sigmod/Manola98,YFIXfqGgvL8J,towards a richer web object model,f manola,1998,towards a richer web object model.,acms anthology,1998,1
4684,4684,conf/vldb/OuzzaniAB94,CgoUJ7DogcwJ,a top-down approach for two level serializability,"m ouzzani, m atroun, n belkhodja",1994,a top-down approach for two level serializability,"m ouzzani, ma atroun, nl belkhodja",1994,1
645,645,conf/sigmod/Chakravarthy97,pCsAI2xXTPoJ,sentinel: an object-oriented dbms with event-based rules,s chakravarthy,1997,sentinel: an object-oriented dbms with event-based rules.,"acms anthology, p edition",0,1
780,780,conf/sigmod/ChoiC02,Gbom-kbsgJkJ,selectivity estimation for spatio-temporal queries to moving objects,"y choi, c chung",2002,clustering moving objects for spatio-temporal selectivity estimation,"q zhang, x lin",0,0
5644,5644,journals/sigmod/Aberer02a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603869%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,book review column,k aberer,2002,advanced xml data processing:,k aberer,2001,0
5,5,conf/sigmod/2000,CpwYam_LYyEJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,on predicting data cache behavior for real {time systems. in proceedings of the acm sigplan workshop ,"c ferdinand, r wilhelm",0,0
3766,3766,conf/vldb/GarofalakisRS99,cygLcfnLUqQJ,spirit: sequential pattern mining with regular expression constraints,"m garofalakis, r rastogi, k shim",1999,"&amp;&amp; kramer, s.. spirit: sequential pattern mining with regular expression constraints",l de raedt,0,0
4531,4531,conf/vldb/Mohan02a,E2zhARKv5dsJ,an efficient method for performing record deletions and updates using index scans,c mohan,2002,"advanced transaction models-survey and critique, 1994",c mohan,0,0
7545,7545,journals/sigmod/RiekertMW97,M4G18MfKn2oJ,management of data and services in the environmental information system (uis) of baden-wï¿½rttemberg,"w riekert, r mayer-fï¿½ll, g wiest",1997,tutorial: state of the art in workflow management system research and products. a tutorial at the  ,c mohan,1996,0
4827,4827,conf/vldb/RiedelGF98,f2N_DxLirWIJ,active storage for large-scale data mining and multimedia,"e riedel, g gibson, c faloutsos",1998,active storage for large-scale data mining and multimedia,"e riedel, g gibson, c faloutsos",1998,1
947,947,conf/sigmod/Dyreson03,UIDFB3gRjlUJ,"temporal coalescing with now, granularity, and incomplete information",c dyreson,2003,"temporal coalescing with now, incomplete information, and granularity",ce dyreson,0,1
6603,6603,journals/sigmod/GalianoM03,8MtKzeCwXCUJ,"review of data on the web: from relational to semistructured data and xml by serge abiteboul, peter buneman, and dan suciu. morgan kaufmann 1999",,2003,prevalence and sociodemographics of migraine headache in the united states 1999: data from the  ,"rb lipton, s diamond, m diamondâ?¦",0,0
5880,5880,journals/sigmod/BernsteinBCDFGGHHJLMNPSU98,3aUZ-RtpdV8J,the asilomar report on database research,"p bernstein, m brodie, s ceri, d dewitt, m franklin, h garcia-molina, j gray, g held, j hellerstein, h jagadish, m lesk, d maier, j naughton, h pirahesh, m stonebraker, j ullman",1998,ullman jeffery d. the asilomar report on database research [j],s michael,0,0
2103,2103,conf/sigmod/OlstonW02,1uei4ivV-PgJ,best-effort cache synchronization with source cooperation,"c olston, j widom",2002,offering a precision-performance tradeoff for aggregation queries over replicated data twenty-sixty  ,"c olston, j widom",0,0
