,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,label
9508,9508,journals/vldb/ShyyASL96,BGpocTLROL8J,the design and implementation of k: a high-level knowledge-base programming language of osam*.kbms,"y shyy, j arroyo, s su, h lam",1996,structure and implementation of a relational query language for the problem solver,"f antonacci, vn spadavecchia, a turtur",1977,0
8073,8073,journals/sigmod/Widom95,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D974751%26type%3Dpdf%26dl%3DACM%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,editor's notes,j widom,1995,online appendix to characterizing memory requirements for queries over continuous data streams,j widom,2004,0
2815,2815,conf/vldb/AcharyaFZ96,4AK08s31YqUJ,disseminating updates on broadcast disks,"s acharya, m franklin, s zdonik",1996,disseminating updates onbroadcastdisks,"s acharya, m franklin, s zdonik",0,1
5154,5154,conf/vldb/ShashaB02,url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"database tuning: principles, experiments, and troubleshooting techniques","d shasha, p bonnet",2002,"database tuning: principles, experiments, and troubleshooting techniques (part i)","d shasha, p bonnet",2002,1
6277,6277,journals/sigmod/EisenbergM99a,P4GlaTbxOpEJ,sqlj-part 1: sql routines using the java programming language,"a eisenberg, j melton",1999,advancements in sql/xml,"a eisenberg, j melton",2004,0
9199,9199,journals/vldb/Halevy02,url:http://www.springerlink.com/index/CBHRGBHFTW90N54X.pdf,guest editorial,,2002,guest editorial,m jarke,1998,0
223,223,conf/sigmod/AgrawalCN01,VM1LnO9kjuoJ,materialized view and index selection tool for microsoft sql server 2000,"s agrawal, s chaudhuri, v narasayya",2001,white paper: microsoft index selection tool for sql server,"s ghaudhuri, v narasayya",1998,0
2224,2224,conf/sigmod/RajagopalanML98,vbi6XDjg0X8J,approximate medians and other quantiles in one pass and with limited memory,"g manku, s rajagopalan, b lindsay",1998,approaxiate medians and other quantiles in one pass and with limited memory,"gs manku, s rajagopalan, bg lindsay",0,1
2893,2893,conf/vldb/AgrawalS94,Bn8s7u5T9SAJ,fast algorithms for mining association rules in large databases,"r agrawal, r srikant",1994,fast algorithms for universal quantification in large databases,"g graefe, rl cole",1995,0
6561,6561,journals/sigmod/Franklin99a,url:http://portal.acm.org/citation.cfm%3Fid%3D197445,editor's notes,m franklin,1999,continuum of complexity,m franklin,1994,0
4674,4674,conf/vldb/OlstonW00,pBKI-JCAlcIJ,offering a precision-performance tradeoff for aggregation queries over replicated data,"c olston, j widom",2000,best-effort cache synchronization with source cooperation,"c olston, j widom",2002,0
5195,5195,conf/vldb/SilversteinBMU98,bCj7bOIqDc0J,scalable techniques for mining causal structures,"c silverstein, s brin, r motwani, j ullman",1998,scalable techniques for mining causal structures,"c silverstein, s brin, r motwani, j ullman",2000,1
7289,7289,journals/sigmod/MeersmanS02,url:http://portal.acm.org/citation.cfm%3Fid%3D945721.945727%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,guest editor's introduction,,2002,guest editor's introduction,k aberer,2003,0
2286,2286,conf/sigmod/RoussopoulosKR97,H7Pi4AQU00YJ,cubetree: organization of and bulk updates on the data cube,"n roussopoulos, y kotidis, m roussopoulos",1997,cubetree: organization of and bulk incremental updates on the data cube,n roussopoulos,1997,1
5360,5360,conf/vldb/TriantafillouP97,L7vxP-dXbukJ,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou, t papadakis",1997,on-demand data elevation in a hierarchical multimedia storage server,"p triantallou, t papadakis",1997,1
