,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year
0,0,conf/sigmod/2000,19VIHSiMAXcJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,carnot and infosleuth-database technology and the www. acm sigmod intern. conf. on management of  ,"n jacobs, r shea",0
1,1,conf/sigmod/2000,2DtY9exkFcgJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,"umform techniques for loop optimization, in proceedings of the acm international conference on  ",w pugh,1991
2,2,conf/sigmod/2000,5k-GwvznWRUJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,discover: keyword search in relational databases in proceedings of the international conference on  ,"v hristidis, y papakonstantinou",0
3,3,conf/sigmod/2000,5wcgt7bNx7YJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,"shoring up persistent applications, acm sigmod international conference on management of data","mj carey, dj dewitt, mj franklinâ?¦",0
4,4,conf/sigmod/2000,AYtgczYwVnYJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,concept based design of data warehouses: the dwq demonstrators. in 2000 acm sigmod intl,"m jarke, c quix, d calvanese, m lenzerini, e  ",0
5,5,conf/sigmod/2000,CpwYam_LYyEJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,on predicting data cache behavior for real {time systems. in proceedings of the acm sigplan workshop ,"c ferdinand, r wilhelm",0
6,6,conf/sigmod/2000,F9KzvnDpCPUJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,similarity-based queries for time series data. in: proceedings of the acm sigmod conference on the  ,"d raflei, a mendelzon",1997
7,7,conf/sigmod/2000,QnMrKru1S1MJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,"blocation-based spatial queries,^ in proceedings of the acm international conference on management  ","j zhang, m zhu, d papadias, y tao, dl lee",2003
8,8,conf/sigmod/2000,Ri6JE0J3-NgJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,"the trec-8 question answering system track, in the proceedings of second international conference on ","em vorhees, dm tice",0
9,9,conf/sigmod/2000,SHYtwo2v-LAJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,w3qs: a query system for the world-wide webâ» in proceedings of the 21st international conference on ,"d konopnicki, o shmueli",0
10,10,conf/sigmod/2000,dXGsVhYx06QJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,"sigirâ??95, proceedings of the 18th annual international acm sigir conference on research and  ","e fox, p ingwersen, r fidel",1995
11,11,conf/sigmod/2000,txG0FI1jy6IJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,data transformations for eliminating conflict misses proceedings of the 1998 acm sigplan conference  ,"g rivera, cw tseng",0
12,12,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fcoll%3DGUIDE%26dl%3DGUIDE%26id%3D276377,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,full text pdf format pdf (424 kb)source international conference on management of data archive,"c olston, a woodruff, a aiken, m chu, v ercegovac, ",1998
13,13,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fdoid%3D375663,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"s mehrotra, t sellis",2001
14,14,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D16894%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D16894%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,c zaniolo,1986
15,15,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D170035%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D170035%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"p buneman, s jajodia",1993
