,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,label
5,5,conf/sigmod/2000,CpwYam_LYyEJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,on predicting data cache behavior for real {time systems. in proceedings of the acm sigplan workshop ,"c ferdinand, r wilhelm",0,0
6,6,conf/sigmod/2000,F9KzvnDpCPUJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,similarity-based queries for time series data. in: proceedings of the acm sigmod conference on the  ,"d raflei, a mendelzon",1997,0
16,16,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D191839,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"rt snodgrass, m winslett",1994,0
35,35,conf/sigmod/2002,QnMrKru1S1MJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"blocation-based spatial queries,^ in proceedings of the acm international conference on management  ","j zhang, m zhu, d papadias, y tao, dl lee",2003,0
40,40,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fcoll%3DGUIDE%26dl%3DGUIDE%26id%3D276377,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,full text pdf format pdf (424 kb)source international conference on management of data archive,"c olston, a woodruff, a aiken, m chu, v ercegovac, ",1998,0
42,42,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D16894%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D16894%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,c zaniolo,1986,0
51,51,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D38713.38742,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,full text pdf format pdf (1.24 mb)source international conference on management of data archive,"h garcia-molina, k salem",1987,0
55,55,conf/sigmod/2002,vfTH6FzOpDAJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,data modeling of time-based media. in: proceedings of the 1994 acm sigmod international conference  ,"s gibbs, c breiteneder, d tsichritzis",1994,0
81,81,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D50202%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D50202%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"h boral, pa larson",1988,0
93,93,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,eBnT7lhV2LwJ,aurora: a data stream management system,"d abadi, d carney, u ï¿½etintemel, m cherniack, c convey, c erwin, e galvez, m hatoun, a maskey, a rasin, a singer, m stonebraker, n tatbul, y xing, r yan, s zdonik",2003,aurora: a data stream management system (demo description),"d abadi, d carney, u cetintemel, m cherniack, c  ",0,1
